"ID","category","fuel","scientific_name","states"
735,"Shrub","Willow, Netleaf","Salix reticulata","AK"
736,"Tree","Willow, Northwest Sandbar","Salix sessilifolia","OR, WA"
737,"Tree","Willow, Pacific","Salix lucida ssp. lasiandra","AK, AZ, CO, ID, MT, NM, NV, OR, UT, WA, CA"
738,"Tree","Willow, Peachleaf","Salix amygdaloides","AZ, CO, IA, ID, IL, IN, KS, KY, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, TX, UT, WA, WI, WY"
739,"Shrub","Willow, Polar","Salix polaris","AK"
740,"Shrub","Willow, Prairie","Salix humilis","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV"
741,"Tree","Willow, Scoulers","Salix scouleriana","AK, AZ, CA, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY"
742,"Tree","Willow, Shining","Salix lucida","AK, AZ, CO, CT, DE, IA, ID, IL, IN, KS, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY, CA"
743,"Shrub","Willow, Shortfruit","Salix brachycarpa","CO, ID, MT, NM, OR, UT, WA, WY, CA"
744,"Shrub","Willow, Sierra","Salix orestera","CO, NV, OR, WY, CA"
745,"Tree","Willow, Sitka","Salix sitchensis","AK, ID, MT, OR, WA, CA"
746,"Shrub","Willow, Undergreen","Salix commutata","AK, ID, MT, OR, WA"
747,"Tree","Willow, White","Salix alba","AK, AR, AZ, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, PA, RI, SD, TN, VA, VT, WA, WI, WV, WY, CA"
748,"Tree","Willow, Yellow","Salix lutea","AZ, CO, IA, ID, KS, MN, MO, MT, ND, NE, NV, OR, SD, UT, WY, CA"
749,"Tree","Willow, Yewleaf","Salix taxifolia","AZ, NM, TX"
750,"Grass","Wiregrass (Threeawn)","Aristida beyrichiana","AL, FL, GA, MS, SC"
751,"Tree","Witchhazel, American","Hamamelis virginiana","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV"
752,"Forb","Wormwood, Forked","Artemisia furcata var. heterophylla","AK, WA"
753,"Forb","Yarrow, Western","Achillea millefolium var. occidentalis","AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
754,"Tree","Yaupon","Ilex vomitoria","AL, AR, FL, GA, LA, MS, NC, OK, SC, TX, VA"
755,"Shrub","Yellow Rabbitbrush","Chrysothamnus viscidiflorus","AZ, CO, ID, MT, NE, NM, NV, OR, UT, WA, WY"
