"ID","category","fuel","scientific_name","states"
67,"Grass","Bluegrass, Sandberg","Poa secunda","AK, AZ, CO, ID, ME, MI, MN, MT, ND, NE, NM, NV, OK, OR, SD, UT, WA, WY, CA"
68,"Tree","Bluegum, Sydney","Eucalyptus saligna","HI"
69,"Tree","Bluegum, Tasmanian","Eucalyptus globulus","HI, CA"
70,"Grass","Bluestem, Big","Andropogon gerardii","AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV, WY"
71,"Grass","Bluestem, Broomsedge","Andropogon virginicus","AL, AR, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV, PR, CA"
72,"Grass","Bluestem, Cane","Bothriochloa barbinodis","AZ, CO, FL, HI, NM, NV, OK, SC, TX, UT, CA"
73,"Grass","Bluestem, Little","Schizachyrium scoparium","AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
74,"Grass","Bluestem, Slender Little","Schizachyrium tenerum","AL, FL, GA, LA, MS, OK, TX, PR"
75,"Grass","Bluestem, Splitbeard","Andropogon ternarius","AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA"
76,"Tree","Boxelder","Acer negundo","AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
77,"Grass","Bristlegrass, Foxtail","Setaria italica","AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV, WY, PR, VI, CA"
78,"Grass","Bristlegrass, Plains","Setaria vulpiseta","AZ, CO, MS, NM, TX, PR"
79,"Shrub","Brittlebrush","Encelia farinosa","AZ, HI, NV, UT, CA"
80,"Grass","Brome, California","Bromus carinatus","AK, OR, WA, CA"
81,"Grass","Brome, Columbia","Bromus vulgaris","ID, MT, NV, OR, UT, WA, WY, CA"
82,"Grass","Brome, Compact","Bromus madritensis","AZ, HI, IL, MD, MI, MS, NV, OR, VA, CA"
83,"Grass","Brome, Fringed","Bromus ciliatus","AK, AL, AZ, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
84,"Grass","Brome, Mountain","Bromus marginatus","AK, AZ, CO, CT, IA, ID, IL, KS, MA, ME, MT, NE, NH, NM, NV, NY, OR, SD, UT, WA, WY, CA"
85,"Grass","Brome, Nodding","Bromus anomalus","NM, TX"
86,"Grass","Brome, Rattlesnake","Bromus briziformis","AK, CO, CT, DE, ID, IL, IN, MA, MD, MI, MT, ND, NE, NJ, NM, NV, NY, OH, OR, PA, SD, UT, VT, WA, WY, CA"
87,"Grass","Brome, Red","Bromus rubens","AZ, HI, ID, MA, MD, MT, NM, NV, NY, OR, SC, TX, UT, VA, WA, CA"
88,"Grass","Brome, Smooth","Bromus inermis","AK, AR, AZ, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
89,"Grass","Brome, Soft","Bromus hordeaceus ssp. hordeaceus","AK, AR, AZ, CO, CT, DE, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WY, CA"
90,"Shrub","Broom, Scotch","Cytisus scoparius","AK, AL, CT, DC, DE, GA, HI, ID, KY, MA, MD, ME, MI, MT, NC, NH, NJ, NY, OH, OR, PA, SC, TN, UT, VA, WA, WV, CA"
91,"Tree","Broom, Spanish","Spartium junceum","HI, OR, WA, CA"
92,"Shrub","Broom, Striated","Cytisus striatus","OR, CA"
93,"Shrub","Broom, Turnpentine","Thamnosma montana","AZ, NV, UT, CA"
94,"Tree","Buckeye, California","Aesculus californica","CA"
95,"Tree","Buckeye, Mexican","Ungnadia speciosa","NM, TX"
96,"Tree","Buckthorn, California","Frangula californica ssp. Californica","HI, CA"
97,"Shrub","Buckwheat, Blue Mountain","Eriogonum strictum","ID, MT, NV, OR, WA"
98,"Shrub","Buckwheat, Eastern Mojave","Eriogonum fasciculatum","AZ, NV, UT, CA"
99,"Tree","Buffaloberry, Silver","Shepherdia argentea","AZ, CO, IA, ID, KS, MI, MN, MT, ND, NE, NM, NV, NY, OR, SD, UT, WI, WY, CA"
100,"Grass","Buffelgrass","Pennisetum ciliare","AZ, FL, HI, LA, MO, NM, NY, OK, TX, PR, VI, CA"
101,"Shrub","Burrobush","Ambrosia dumosa","AZ, NV, UT, CA"
102,"Tree","Butternut","Juglans cinerea","AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV"
103,"Tree","Buttonbrush, Common","Cephalanthus occidentalis","AL, AR, AZ, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV, CA"
104,"Forb","Camas, Small","Camassia quamash","ID, MT, NV, OR, UT, WA, WY, CA"
105,"Forb","Canadian Horseweed","Conyza canadensis","AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, PR, VI, CA"
106,"Shrub","Cane, Giant","Arundinaria gigantea ssp. gigantea","AL, AR, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, OH, OK, SC, TN, TX, VA, WV"
107,"Shrub","Cane, Switch","Arundinaria gigantea ssp. tecta","AL, AR, FL, GA, LA, MD, MS, NC, NJ, NY, OK, SC, TN, VA"
108,"Forb","Cattail, Broadleaf","Typha latifolia","AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
109,"Forb","Cattail, Narrowleaf","Typha angustifolia","AR, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, VA, VT, WA, WI, WV, WY, CA"
110,"Shrub","Ceanothus, Bigpod","Ceanothus megacarpus Nutt.","CA"
111,"Shrub","Ceanothus, Buckbrush","Ceanothus cuneatus","CA, OR"
112,"Shrub","Ceanothus, Chapparal Whitethorn","Ceanothus leucodermis","CA"
113,"Shrub","Ceanothus, Deerbrush","Ceanothus integerrimus","AZ, NM, OR, WA, CA"
114,"Shrub","Ceanothus, Desert","Ceanothus greggii","AZ, NM, NV, TX, UT, CA"
115,"Shrub","Ceanothus, Hoaryleaf","Ceanothus crassifolius Torr.","CA"
116,"Shrub","Ceanothus, Redstem","Ceanothus sanguineus","ID, MI, MT, OR, SD, WA, CA"
117,"Tree","Ceanothus, Snowbrush","Ceanothus velutinus","CO, ID, MT, NV, OR, SD, UT, WA, WY, CA"
118,"Shrub","Ceanothus, Waveyleaf","Ceanothus foliosus","CA"
119,"Shrub","Ceanothus, Whitethorn","Ceanothus cordulatus","NV, OR, CA"
120,"Tree","Cedar, Alaska","Cupressus nootkatensis","AK, OR, WA"
121,"Tree","Cedar, Atlantic White","Chamaecyparis thyoides","AL, CT, DE, FL, GA, MA, MD, ME, MS, NC, NH, NJ, NY, PA, RI, SC, VA"
122,"Tree","Cedar, Deodar","Cedrus deodara","GA, NC, SC"
123,"Tree","Cedar, Incense","Calocedrus decurrens","NV, OR, CA"
124,"Tree","Cedar, Port Orford","Chamaecyparis lawsoniana","OR, CA"
125,"Shrub","Chamise","Adenostoma fasciculatum","NV, CA"
126,"Shrub","Chamise, New Growth","Adenostoma fasciculatum","NV, CA"
127,"Shrub","Chamise, Old Growth","Adenostoma fasciculatum","NV, CA"
128,"Grass","Cheatgrass","Bromus tectorum","AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
129,"Tree","Cherry, Bitter","Prunus emarginata","AZ, ID, MT, NM, NV, OR, UT, WA, WY"
130,"Tree","Cherry, Black","Prunus serotina","AL, AR, AZ, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV"
131,"Tree","Cherry, Choke","Prunus virginiana","AK, AR, AZ, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
132,"Tree","Chestnut, American","Castanea dentata","AL, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV"
133,"Tree","Chestnut, Chinese","Castanea mollissima","AL, DC, FL, GA, IL, KY, MA, NC, PA, RI, TN)"
134,"Shrub","Chinquapin, Bush","Chrysolepis sempervirens","NV, OR, CA"
135,"Tree","Chinquapin, Giant","Chrysolepis chrysophylla","OR, WA, CA"
136,"Shrub","Chokeberry, Black","Photinia melanocarpa","AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV"
137,"Shrub","Chokeberry, Red","Photinia pyrifolia","AL, AR, CT, DC, DE, FL, GA, KY, LA, MA, MD, ME, MS, NC, NH, NJ, NY, OK, PA, RI, SC, TN, TX, VA, WV"
138,"Shrub","Cloudberry","Rubus chamaemorus","AK, ME, MN, NH, NY"
139,"Grass","Cordgrass, Prairie","Spartina pectinata","AR, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
140,"Grass","Cordgrass, Saltmeadow","Spartina patens","AL, CA, CT, DE, FL, GA, LA, MA, MD, ME, MI, MS, NC, NH, NJ, NY OR, PA, RI, SC, TX, VA, WA, PR, VI"
141,"Grass","Cordgrass, Smooth","Spartina alterniflora","AL, CT, DE, FL, GA, LA, MA, MD, ME, MS, NC, NH, NJ, NY, OR, RI, SC, TX, VA, WA, CA"
142,"Grass","Cottongrass, Tussock","Eriophorum vaginatum","AK, CT, IN, MA, ME, MI, MN, MT, NH, NJ, NY, PA, RI, VT, WI"
143,"Grass","Cottontop, Arizona","Digitaria californica","AZ, CO, NM, OK, TX"
144,"Tree","Cottonwood, Black","Populus balsamifera ssp. trichocarpa","AK, ID, MT, ND, NV, OR, UT, WA, WY, CA"
145,"Tree","Cottonwood, Eastern","Populus deltoides","AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV, WY"
146,"Tree","Cottonwood, Fremont","Populus fremontii","AZ, CO, NM, NV, TX, UT, CA"
147,"Tree","Cottonwood, Narrowleaf","Populus angustifolia","AZ, CO, ID, MT, NE, NM, NV, OR, SD, TX, UT, WY, CA"
148,"Tree","Cottonwood, Plains","Populus deltoides ssp. monilifera","CO, IA, IL, IN, KS, MI, MN, MO, MT, ND, NE, NM, OH, OK, PA, SD, TX, WI, WY"
149,"Tree","Cottonwood, Swamp","Populus heterophylla","AL, AR, CT, DE, FL, GA, IL, IN, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, PA, RI, SC, TN, VA"
150,"Shrub","Coyotebrush","Baccharis pilularis","NM, OR, CA"
151,"Shrub","Creosote Bush","Larrea tridentata var. arenaria","CA"
152,"Shrub","Crowberry, Black","Empetrum nigrum","AK, MI, MN, NH, NY, OR, VT, WA, CA"
153,"Shrub","Currant, American Black","Ribes americanum","CO, CT, DC, DE, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NY, OH, PA, RI, SD, VA, VT, WI, WV, WY"
154,"Shrub","Currant, Prickly","Ribes lacustre","AK, CO, CT, ID, MA, ME, MI, MN, MT, NH, NJ, NV, NY, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY, CA"
155,"Shrub","Currant, Sierra Gooseberry","Ribes roezlii","NV, OR, CA"
156,"Tree","Cypress, Arizona","Cupressus arizonica","AZ, NM, NV, TX, UT, PR, CA"
157,"Tree","Cypress, Bald","Taxodium distichum","AL, AR, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV"
158,"Tree","Cypress, Gowen","Cupressus goveniana","CA"
159,"Tree","Cypress, Macnab","Cupressus macnabiana","CA"
160,"Tree","Cypress, Modoc","Cupressus bakeri","OR, CA"
161,"Tree","Cypress, Monterey","Cupressus macrocarpa","CA, PR"
162,"Tree","Cypress, Montezuma Bald","Taxodium mucronatum","TX"
163,"Tree","Cypress, Sargent","Cupressus sargentii","CA"
164,"Tree","Cypress, Tecate","Cupressus Forbesii","CA"
165,"Grass","Deergrass","Muhlenbergia rigens","AZ, NM, NV, TX, CA"
166,"Tree","Dogwood, Alternateleaf","Cornus alternifolia","AL, AR, CT, DE, FL, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV"
167,"Shrub","Dogwood, Gray","Cornus racemosa","AR, CT, DE, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, PA, RI, SC, SD, TX, VA, VT, WI, WV"
168,"Tree","Dogwood, Pacific","Cornus nuttallii","ID, OR, WA"
169,"Forb","Dotted Blazing Star","Liatris punctata","AR, CO, IA, IL, KS, LA, MI, MN, MO, MT, ND, NE, NM, OH, OK, SD, TN, TX, WI, WY"
170,"Tree","Douglas-Fir","Pseudotsuga menziesli","AZ, CA, CO, ID, MN, MT, NM, NV, NY, OR, PA, TX, UT, WA, WY"
171,"Tree","Douglas-Fir, Bigcone","Pseudotsuga macrocarpa","CA"
172,"Tree","Douglas-Fir, Coastal","Pseudotsuga menziesii var. menziesii","NV, OR, PA, WA, CA"
173,"Tree","Douglas-Fir, Rocky Mountain","Pseudotsuga menziesii var. glauca","AZ, CO, ID, MN, MT, NM, NV, NY, OR, TX, UT, WA, WY"
174,"CFFDRS","Duff (DC)",,"AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, PR, VI, CA"
175,"Grass","Dunegrass, American","Leymus mollis ssp. mollis","AK, IL, MA, ME, MI, NH, OR, PA, WA, WI, CA"
176,"Tree","Eastern Baccharis","Baccharis halimifolia","AL, AR, CT, DC, DE, FL, GA, LA, MA, MD, MS, NC, NJ, NY, OK, PA, RI, SC, TX, VA"
177,"Tree","Elderberry, American Black","Sambucus nigra ssp. canadensis","AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY, PR, VI, CA"
178,"Shrub","Elderberry, Blue","Sambucus nigra ssp. cerulea","AZ, CO, ID, MT, NM, NV, OR, TX, UT, WA, WY"
179,"Shrub","Elderberry, Red","Sambucus racemosa","AK, AZ, CO, CT, GA, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY, CA"
180,"Tree","Elm, American","Ulmus americana","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY"
181,"Tree","Elm, Cedar","Ulmus crassifolia","AR, FL, LA, MO, MS, OK, TN, TX"
182,"Tree","Elm, Chinese","Ulmus parvifolia","AR, AZ, DC, FL, GA, KY, LA, MA, MD, ME, NC, NJ, NV, OK, PA, VA, WV, CA"
183,"Tree","Elm, Rock","Ulmus thomasii","AR, CT, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, ND, NE, NH, NJ, NY, OH, PA, SD, TN, VT, WI, WV"
184,"Tree","Elm, September","Ulmus serotina","AL, AR, GA, IL, KY, MS, OK, TN)"
185,"Tree","Elm, Siberian","Ulmus pumila","AL, AR, AZ, CO, CT, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MT, NC, ND, NE, NH, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
186,"Tree","Elm, Slippery","Ulmus rubra","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV"
187,"Tree","Elm, Winged","Ulmus alata","AL, AR, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA"
188,"Tree","Eucalyptus, Grand","Eucalyptus grandis","FL"
189,"Shrub","Euonymus, Winterberry","Euonymus bungeanus","FL, GA, IL, SC"
190,"Shrub","Fendlerbush, Cliff","Fendlera rupicola","AZ, CO, NM, NV, TX, UT"
191,"Grass","Fescue, Arizona","Festuca arizonica","AZ, CO, NM, NV, TX, UT"
192,"Grass","Fescue, Bearded","Festuca subulata","AK, CO, ID, MT, NV, OR, SD, UT, WA, WY, CA"
193,"Grass","Fescue, California","Festuca californica","OR, CA"
194,"Grass","Fescue, Greenleaf","Festuca viridula","ID, MT, NV, OR, WA"
195,"Grass","Fescue, Hard","Festuca brevipila","AL, CT, DC, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, TN, VA, VT, WA, WI, WV, WY, CA"
196,"Grass","Fescue, Idaho","Festuca idahoensis","AZ, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY, CA"
197,"Grass","Fescue, Nodding","Festuca subverticillata","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV"
198,"Grass","Fescue, Northern Rough","Festuca altaica","AK, MI"
199,"Grass","Fescue, Plains, Rough","Festuca hallii","CO, MT, ND, WA, WY"
200,"Grass","Fescue, Red","Festuca rubra","AK, AL, AZ, CO, CT, DC, DE, GA, HI, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
201,"Grass","Fescue, Sheep","Festuca ovina","CT, DE, IL, MA, ME, MO, NH, OR, RI, SC, UT, VT, WA, CA"
202,"Grass","Fescue, Spike","Leucopoa kingii","CO, ID, KS, MT, NE, NV, OR, SD, UT, WY"
203,"Grass","Fescue, Tall","Schedonorus phoenix","AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
204,"Grass","Fescue, Varioushair","Festuca heteromalla","MA, ME, NH, VT, WI"
205,"Grass","Fescue, Western","Festuca occidentalis","AK, ID, MI, MT, OR, SD, UT, WA, WI, WY, CA"
206,"Shrub","Fetterbush, Mountain","Pieris floribundia","GA, NC, TN, VA, VT, WV"
207,"Tree","Fir, Balsam","Abies balsamea","CT, IA, IN, MA, MD, ME, MI, MN, NH, NY, OH, PA, RI, VA, VT, WI, WV"
208,"Tree","Fir, Bristlecone","Abies bracteata","CA"
209,"Tree","Fir, California Red","Abies magnifica","NV, NY, OR, CA"
210,"Tree","Fir, Fraser","Abies fraseri","GA, NC, TN, VA"
211,"Tree","Fir, Grand","Abies grandis","ID, MT, OR, WA, CA"
212,"Tree","Fir, Noble","Abies procera","OR, WA, CA"
213,"Tree","Fir, Pacific Silver","Abies amabilis","AK, OR, WA"
214,"Tree","Fir, Subalpine","Abies lasiocarpa","AK, AZ, CO, ID, MT, NM, NV, OR, UT, WA, WY"
215,"Tree","Fir, White","Abies concolor","AZ, CO, ID, MA, ME, NM, NV, OR, UT, WY"
216,"Forb","Fireweed","Chamerion angustifolium","AK, AZ, CO, CT, DC, DE, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY, CA"
217,"Tree","Flannelbush, California","Fremontodendron californicum","AZ, CA"
218,"Forb","Foothill Deathcamas","Zigadenus paniculatus","AZ, CO, ID, MT, NM, NV, OR, UT, WA, WY, CA"
219,"Grass","Foxtail, Shortawn","Alopecurus aequalis","AK, AZ, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, SD, TN, UT, VA, VT, WA, WI, WY, CA"
220,"Grass","Foxtail, Yellow","Setaria pumila","AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
221,"Tree","Gallberry, Large","Ilex coriacea (Pursh) Chapm.","AL, FL, GA, LA, MS, NC, SC, TX, VA"
222,"Shrub","Giant Reed","Arundo donax","AL, AR, AZ, DE, FL, GA, HI, IL, KS, KY, LA, MD, MO, MS, NC, NM, NV, OK, SC, TN, TX, UT, VA, WV, PR, VI, CA"
223,"Grass","Grama, Black","Bouteloua eriopoda","AZ, CO, KS, NM, NV, OK, TX, UT, WY, CA"
224,"Grass","Grama, Blue","Bouteloua gracilis","AZ, CO, CT, FL, IA, ID, IL, KS, MA, ME, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, SC, SD, TX, UT, WI, WY, CA"
225,"Grass","Grama, False","Cathestecum erectum","AZ, TX"
226,"Grass","Grama, Gypsum","Bouteloua breviseta","NM, TX"
227,"Grass","Grama, Hairy","Bouteloua hirsuta","AR, AZ, CO, FL, GA, IA, IL, KS, LA, MD, ME, MN, MO, MS, MT, ND, NE, NM, NV, NY, OH, OK, SC, SD, TX, UT, WI, WY"
228,"Grass","Grama, Sixweeks","Bouteloua barbata","AZ, CO, KS, MD, MT, NM, NV, OK, OR, TX, UT, CA"
229,"Shrub","Greasewood","Sarcobatus vermiculatus","AZ, CO, ID, MT, ND, NE, NM, NV, OR, SD, TX, UT, WA, WY, CA"
230,"Shrub","Greenbrier, Lanceleaf","Smilax smallii","AL, AR, FL, GA, LA, MS, NC, OK, SC, TX, VA, PR"
231,"Shrub","Greenbrier, Saw","Smilax bona-nox","AL, AR, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA"
232,"Tree","Hackberry, Netleaf","Celtis laevigata var. reticulata","AZ, CO, ID, KS, LA, NM, NV, OK, OR, TX, UT, WA, WY, CA"
233,"Grass","Hairgrass, Slender","Deschampsia elongata","AK, AZ, ID, MA, ME, MT, NM, NV, OR, SC, UT, WA, WY, CA"
234,"Grass","Hairgrass, Tufted","Deschampsia cespitosa","AK, AZ, CO, CT, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY, CA"
235,"Shrub","Hazlenut, American","Corylus americana","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV"
236,"Tree","Hazlenut, California","Corylus cornuta var. Californica","OR, WA, CA"
237,"Tree","Hemlock, Carolina","Tsuga caroliniana","GA, NC, SC, TN, VA"
238,"Tree","Hemlock, Eastern","Tsuga canadensis","AL, CT, DC, DE, GA, IN, KY, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV"
239,"Tree","Hemlock, Mountain","Tsuga mertensiana","AK, ID, MT, NV, OR, WA"
240,"Tree","Hemlock, Western","Tsuga heterophylla","AK, ID, MT, OR, WA, CA"
241,"Forb","Hemlock, Western Water","Cicuta douglasii","AK, ID, MT, NV, OR, WA, CA"
242,"Tree","Hickory, Bitternut","Carya cordiformis","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV"
243,"Tree","Hickory, Nugmeg","Carya myristiciformis","AL, AR, GA, LA, MS, NC, OK, SC, TX"
244,"Tree","Hickory, Shagbark","Carya ovata","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV"
